#ZVView-data-copy:   6-Mar-2023 03:38:37
#=======================================
#
name:   EAF-2010: H-1(N,G)H-2
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  356
#data...
#            X            Y
#          MeV        barns
         1e-11      16.6999 
   1.08594e-11      16.0255 
   1.19531e-11      15.2747 
    1.3125e-11      14.5769 
    1.4375e-11      13.9287 
    1.5625e-11      13.3599 
    1.6875e-11      12.8556 
     1.875e-11      12.1959 
         2e-11      11.8086 
    2.1875e-11      11.2912 
     2.375e-11      10.8363 
    2.5625e-11      10.4324 
   2.84375e-11      9.90303 
     3.125e-11      9.44689 
   3.40625e-11      9.04848 
    3.6875e-11      8.69657 
    4.0625e-11      8.28547 
    4.4375e-11      7.92766 
    4.8125e-11      7.61252 
    5.3125e-11      7.24544 
   5.78125e-11      6.94549 
   6.40625e-11      6.59799 
     6.875e-11      6.36909 
       7.5e-11      6.09794 
     8.125e-11      5.85871 
    9.0625e-11       5.5474 
         1e-10      5.28097 
   1.09375e-10      5.04957 
    1.1875e-10      4.84615 
    1.3125e-10      4.60961 
    1.4375e-10      4.40463 
    1.5625e-10      4.22478 
    1.6875e-10      4.06529 
     1.875e-10      3.85667 
         2e-10      3.73421 
    2.1875e-10      3.57059 
     2.375e-10      3.42675 
    2.5625e-10        3.299 
   2.84375e-10      3.13161 
     3.125e-10      2.98737 
   3.40625e-10      2.86138 
    3.6875e-10      2.75009 
    4.0625e-10       2.6201 
    4.4375e-10      2.50694 
    4.8125e-10      2.40729 
    5.3125e-10      2.29121 
   5.78125e-10      2.19636 
   6.40625e-10      2.08647 
     6.875e-10      2.01408 
       7.5e-10      1.92834 
     8.125e-10      1.85269 
      8.75e-10      1.78529 
    9.6875e-10      1.69671 
     1.0625e-9      1.62013 
    1.15625e-9      1.55306 
    1.28125e-9      1.47535 
      1.375e-9      1.42417 
        1.5e-9      1.36354 
      1.625e-9      1.31005 
       1.75e-9      1.26239 
     1.9375e-9      1.19975 
    2.09375e-9      1.15412 
    2.28125e-9      1.10567 
    2.46875e-9      1.06286 
       2.75e-9      1.00704 
    3.03125e-9     0.959183 
     3.3125e-9     0.917559 
    3.59375e-9     0.880923 
    3.96875e-9     0.838272 
       4.25e-9      0.81006 
      4.625e-9     0.776525 
          5e-9     0.746837 
    5.46875e-9     0.714113 
     5.9375e-9     0.685344 
     6.5625e-9     0.651892 
     7.1875e-9     0.622904 
     7.8125e-9     0.597468 
     8.4375e-9     0.574913 
      9.375e-9      0.54541 
    1.03125e-8     0.520028 
      1.125e-8     0.497888 
    1.21875e-8     0.478355 
    1.34375e-8     0.455562 
